"","P6494","P1867","P5038","P5118","P4631","P6126","P2051","P346","P2056","P4949","P5784","P7357","P1509","P9449","P167","P9521","P1494","P7623","P9705","P4810","P3549","P6336","P9699","P8727"
"COX-IS_Bonavita",0.039422018630399,1.53221794738105,2.00869310008692,-0.275727280447874,0.0652790025386516,-0.535895874038361,-0.0400296089463526,0.48026506204964,-0.111701275873065,-0.379309950986582,0.0215807458532797,-0.183469490647382,-0.205331295453913,0.434039213452979,1.00106950623732,-0.927102864415828,0.0418455400668735,2.10432014442202,-0.894288360344024,-2.81769370864025,-0.575964449951858,-0.374741939735922,-0.271702267693647,-0.135773913544071
"CYT_Davoli",-0.807159353348703,-0.613741339491902,-0.16397228637415,0.321318977111822,-0.410323185206297,-0.115473441108551,0.181945142908387,-0.592956120092372,0.643187066974596,-0.461893764434173,0.570061633787819,0.596420323325637,0.756928406466521,0.349884526558889,0.0822231592676674,0.213451174473786,-0.608825136095457,-0.368914945845512,-0.853348729792114,-0.492494226327934,-0.284642186750132,0.668013856812931,0.788683602771366,0.583718244803695
"CYT_Rooney",-0.901554404145142,-0.738054116292515,0.346327037244828,0.102393721782851,-0.375569886941335,-0.353483016695491,0.143350604490486,-0.639608520437588,0.861255037420839,-0.374784110535446,0.19991767953125,0.549798503166379,0.94300518134715,0.417962003454228,0.411629245826134,0.261370178468615,-0.495682210708163,-0.466624126422007,-0.815198618307487,-0.527921704087554,-0.416810592976438,0.789291882556127,0.780080598733448,0.314335060449042
"EMT_Thompson",-0.252938998600528,-0.411361093708219,-0.627639366126814,0.429829227902961,-0.373143992302729,0.214337080446313,-0.0274458351097499,-0.099927241318576,0.283603610862803,0.085902535167456,0.161650282047792,-0.201529866986799,0.0481675509465125,-0.347136978606169,1.02231419028442,0.0258214622843437,-0.0768814066667481,0.188021091356975,0.0468935186469598,-0.624148932815662,0.121088798140153,-0.147762433665225,-0.127849844738136,0.690136642558663
"EMTstroma_Wang",-0.108753204158225,0.518216147926806,0.604328331448403,0.356579535040611,-0.0677050716777591,0.26588892052253,0.327915951946232,-0.30993160299269,-0.33115611008864,-0.160148152118796,0.231994796915939,0.17955012887338,-0.277755644308213,-0.0521645039290731,-0.579522340667933,0.13251211857409,-0.12510765618335,0.0589721749470714,-0.163116437091023,0.55277426898319,-0.151695709916719,0.0380883477359766,-0.576927968598256,-0.40292731901249
"IFN_Ayers",-1.32750572289852,-0.123860657334561,-0.344936472018116,0.527032895675074,-1.39010554100823,0.57108607322019,0.718289259199343,-1.01448870599667,0.919752340945318,-1.1117955236524,0.0294426892213378,1.23475357282952,1.65701455295621,0.0723600208123585,0.684009120071903,-0.0760645626020021,-1.10170041412904,-0.0752879726929729,-1.67225383927838,-0.839166900504194,-0.0626751954537251,1.02482914803588,0.895055520126866,0.806216314474815
"IMS_Cui",-0.444383603071246,0.535094821122108,0.473923888625413,0.446270428728703,-0.650828112251888,-0.432866594732032,0.138778648620502,-0.248758127987078,0.323821900156557,0.286435971014253,0.298722821512957,0.14727785766501,0.481899345937179,-0.383398158212605,0.200992611204155,-0.0318038607761977,-0.491940353045073,0.306765903702476,0.0691270726264027,0.188563643831579,-0.401912901912889,-0.149098742038143,-0.229912509459847,-0.195196882844396
"Inflammatory_Thompson",-0.576085012265434,-0.552363930405656,-0.093145019438058,0.373550922321201,-0.510596021603058,0.074679113185525,0.432894069067291,-0.617351119396287,0.645544451357647,-0.498998029446542,0.273463594204521,0.670946243303142,0.736101528023298,0.359820525605176,0.42071359201019,0.108518086347716,-0.581048674192676,-0.357945192839651,-0.744401009062473,-0.641779997780546,-0.357400313204441,0.5984428985851,0.671363241341329,0.595111420700854
"IPRES_Hugo",0.126722759515246,0.439545722005136,0.231234557055341,0.226390316248384,0.13920819820105,0.155535150892633,0.170843405960642,0.233245223644721,0.108638853797868,0.302254919121689,0.2073672305759,-0.0148610468587913,-0.013231217195164,0.134990806337878,0.248555554228206,0.105530059387057,0.130087212525036,0.316135158623787,0.234473954783001,0.34880706124877,0.0795752989055169,0.0132858587773307,-0.0850264367566101,0.0076851327590451
"IPS_Charoentong",0.609888702097785,-0.118062468490723,-0.929722116209824,1.04765096632226,-0.793488246397628,1.43119471400382,1.90394686517585,0.187542507896138,-0.0691444520546443,-1.67238776189551,-0.0893422821975522,-1.73437894606746,-2.00747592733104,0.168752064791015,1.29246116972071,0.092830329718702,-0.191478256302832,-0.404873280648623,-0.912556768704026,0.000148241253548396,0.113232160572584,0.471651889459621,0.482132184766046,1.12147871052179
"IPSOV_Shen",-0.0025549386904698,0.024476842417176,0.0596555254291482,0.103637276762146,0.11985072676904,0.148120484228653,0.0857271163149306,0.0594374113247616,0.0538451344532767,0.0363442483875498,0.0547308729812947,0.161413733980918,0.192400766837987,0.0684933132868873,0.169926601429853,0.0906258508073656,0.00848803537158453,0.0784374272325012,0.0714932039240921,0.138296362594366,0.21899310795782,-0.00759674460666807,0.360982586898016,0.260511081875878
"IRG_Ayers",-1.40601794864178,-0.161893899458401,-0.406345195534023,0.70285301610955,-1.43713937298344,0.345905823870903,0.584239682026123,-1.11680063164101,0.991107061850938,-1.23623175506692,0.749051614849679,0.96161667412355,1.40045332080481,-0.19041655326198,0.7133656812852,-0.0515872445915994,-1.22978279462861,0.0897561127097454,-1.50569076380004,-0.822185741363605,-0.0821193419560343,0.900012292038778,0.9439256983701,1.26392426488807
"M1_Hwang",-0.0912961851145371,-0.306951380777608,-0.16480760573954,0.397034636378803,-0.2119417597115,0.0695346569284834,0.27555425725233,-0.277103365250853,0.364818297417112,-0.216690182939468,0.384058769884845,0.312358884601593,0.548622530990411,-0.0167747953911588,0.168985440699903,-0.00532735320387294,-0.292162256503996,0.109777124991013,-0.389610313831105,-0.141837402181082,-0.0860706652870874,0.185935746393599,0.452486988113857,0.610389686168895
"MHC-I_Liu",0.0272418815710956,-0.46770803852225,-0.0522094474034958,0.329519854201538,-0.303680322679998,-0.079646889497831,0.53229196147775,-0.406575736270015,0.408122833669518,-0.386949828263514,-0.0529457581546377,0.393600400177359,0.403559498952101,0.118567287295351,0.248082509755633,0.0649547212408204,-0.226534756206751,-0.305609174383729,-0.45224247467898,0.0931744768805103,-0.361593799987092,0.37876803712129,0.419397359516523,0.220029014671868
"MHC-II_Liu",-0.265519589256051,-0.0998496251502583,-0.0970643483861042,0.240829004936601,-0.402991164222063,0.0959961365288925,0.376111999473705,-0.434586418819925,0.381892465656964,-0.307273619477857,0.36122700930462,0.525838009440403,0.503357683627917,-0.0898501683204583,0.0337942171814285,0.141612361083174,-0.474161990559597,-0.203707745497987,-0.449309446717459,-0.344984699964754,-0.202219510880545,0.522574903292602,0.396144002079755,0.359749996565768
"PassON_Du",-0.105459436097617,-0.257706392178601,-0.0112821050181185,0.116068055961789,-0.137332957431366,0.0990866625616685,0.256888346159132,-0.158565013089868,0.228914955994861,-0.133109146291353,0.205262646202899,0.289750687433131,0.371913777847873,0.0736752063911141,0.230566842999934,0.252057229951789,-0.176618165194408,-0.0732600136044737,-0.206800676683,-0.29162582464291,0.134592646554092,0.466372066025157,0.234540862655537,0.306369837783254
"PDL1_Nishino",-0.509642493046175,-0.478686635944679,0.484005497026636,0.242930942019015,-0.64327977042747,-0.247695852534545,-0.178121652184257,-0.805299539170474,0.665322580645162,-0.453341013824866,0.0478110599078421,0.84562211981567,0.876152073732722,0.0610599078341005,0.423902965991604,0.296658986175116,-0.573156682027626,-0.357142857142839,-0.650345622119787,-0.449909320182693,-0.653683513000203,0.469470046082956,0.758640552995393,0.464783049320627
"PredictIO_Bareche",-0.754278051943602,-0.479529778978674,-0.64768206214289,-0.0901824991666909,-0.332531128411457,0.00284050339796926,0.0489683884585159,-0.707040718678245,0.825544927683879,-0.987944370775791,0.368973635520869,0.654716754188285,1.05299414648543,0.578875620155505,0.468361990864796,0.321230746506989,-0.701405750212224,-0.617361703182109,-0.681473692077141,-0.496237030423459,-0.187271942529286,0.578969665875374,1.03199803174774,0.827435864703502
"Teff_McDermott",-0.772799759289913,-0.688581314878887,-0.0155535112569996,0.0455594002306759,-0.369683861412034,-0.113610149942348,-0.450555714746209,-0.611411725558364,0.775086505190315,-0.625144175317197,-0.0271049596309293,0.630334486735879,0.922722029988468,0.531162857355554,0.381345656022657,0.493079584775081,-0.712802768166088,-0.629329476547761,-0.63974313246836,-0.417731149971942,-0.479238754325269,0.615340253748565,0.706882272047642,0.283909418906769
"Teff-IFNG_Fehrenbacher",-0.724949774524235,-0.613518197573634,-0.240036727228892,0.0456383593298579,-0.346409490754503,0.187175043327547,0.219090146766515,-0.327263036848585,0.720254525756604,-0.586702977704286,-0.0531484690930217,0.673149615296584,0.898902368573081,0.540727902946271,0.271273379636385,0.376264630108393,-0.665484551882241,-0.567147478143886,-0.763172546023488,-0.567745118428639,-0.316393798367785,0.664933564413639,0.716226884223677,0.425187752744074
"TIS_Damotte",-0.561588001190033,-0.462273858444096,0.0814424970168853,0.425196765461796,-0.583072621449392,0.110788863109051,0.422262763616819,-0.623699455704902,0.658846444153273,-0.586109380673248,0.132223595840756,0.736791936415822,0.808735407290379,0.203667948924796,0.161252900232025,0.209074200292848,-0.606180933385415,-0.38072366357431,-0.697887844252045,-0.585290393821136,-0.379215772931954,0.562410857710125,0.680882756925521,0.510147909898169
"TUMOR-VASCULATURE-UP_Lu",-0.0762402334557128,0.152428566196286,0.385343486832184,0.115826182614282,-0.190474682494439,-0.0922237149277688,0.00703014211944966,0.0164772767916566,0.136854193073839,0.399750158097527,-0.0260502467510969,-0.254610759280691,-0.217572440268092,-0.120677300144935,0.0798500265487618,0.0898751916098497,0.0284583542938311,-0.410140780929339,0.0897671750440057,0.115038213193376,-0.379982996055598,0.0835619995161105,-0.224755083965348,-0.226992017210588
"VIGex_Hernando-Calvo",-0.640337493197416,-0.600180608096117,0.0114443531452639,0.223958333333335,-0.549508665117913,0.129969789216365,0.396405244919189,-0.583895024462782,0.60450160117017,-0.11151180491518,0.108796296296295,0.704722295239531,0.797487188020865,0.497704312569818,0.375505514030364,0.146141268585958,-0.612268518518544,-0.507523148148166,-0.828745651106734,-0.629171477833311,-0.288667366625261,0.586516814771359,0.710106668560801,0.546384230018305
