"Study","SE","Pval","Gene","Coef","Cancer_type","Outcome","N","Treatment"
"ICB_small_Mariathasan",0.184,0.154228617132897,"CD83",-0.262,"Bladder","R vs NR",133,"PD-1/PD-L1"
"ICB_small_Mariathasan",0.201,0.014511652187316,"STAT1",-0.491,"Bladder","R vs NR",133,"PD-1/PD-L1"
"ICB_small_Mariathasan",0.234,0.00145652866446847,"CXCL9",-0.746,"Bladder","R vs NR",133,"PD-1/PD-L1"
"ICB_small_Mariathasan",0.219,0.0134337534180372,"CD8A",-0.542,"Bladder","R vs NR",133,"PD-1/PD-L1"
"ICB_small_Mariathasan",0.208,0.00840555598759397,"CXCL13",-0.547,"Bladder","R vs NR",133,"PD-1/PD-L1"
"ICB_small_Mariathasan",0.21,0.319762822522915,"CTLA4",-0.209,"Bladder","R vs NR",133,"PD-1/PD-L1"
"ICB_small_Mariathasan",0.212,0.0073241747910472,"CXCL10",-0.568,"Bladder","R vs NR",133,"PD-1/PD-L1"
"ICB_small_Mariathasan",0.207,0.0283860895148552,"CXCL11",-0.454,"Bladder","R vs NR",133,"PD-1/PD-L1"
"ICB_small_Mariathasan",0.212,0.329319629815141,"TIGIT",-0.207,"Bladder","R vs NR",133,"PD-1/PD-L1"
